gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
PELP1	1.25.10.10;	7UWF;8FL2;8FL3;8FL4;	17	27043	{'Reference GRCh38.p14 Primary Assembly': '4669773:4704136', 'Alternate T2T-CHM13v2.0': '4559471:4593868'}
CDK20	1.10.510.10;		9	23552	{'Reference GRCh38.p14 Primary Assembly': '87966440:87974532', 'Alternate T2T-CHM13v2.0': '100120473:100128569'}
ABI1	6.10.140.1620;2.30.30.40;	7LXE;	10	10006	{'-': '5129:119491', 'Reference GRCh38.p14 Primary Assembly': '26746595:26860957', 'Alternate T2T-CHM13v2.0': '26768503:26882881'}
TBC1D3	1.10.8.270;1.10.10.750;1.10.472.80;		17	729873	{'Reference GRCh38.p14 Primary Assembly': '38181658:38192554', 'Alternate T2T-CHM13v2.0': '39044722:39055624', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '2216775:2227685'}
ADGRG2	2.60.220.50;1.20.1070.10;		X	10149	{'-': '5169:138330', 'Reference GRCh38.p14 Primary Assembly': '18989306:19122955', 'Alternate T2T-CHM13v2.0': '18572020:18705686'}
WDFY3	2.60.120.200;1.10.1540.10;1.25.10.10;2.30.29.30;2.130.10.10;3.30.40.10;	3WIM;6W9N;	4	23001	{'-': '4701:301794', 'Reference GRCh38.p14 Primary Assembly': '84669596:84966689', 'Alternate T2T-CHM13v2.0': '87999581:88296707'}
MYOCD	6.10.140.2040;6.10.150.10;1.10.720.30;		17	93649	{'-': '5000:108059', 'Reference GRCh38.p14 Primary Assembly': '12665889:12768948', 'Alternate T2T-CHM13v2.0': '12573361:12676443'}
ASPM	1.20.5.190;1.10.418.10;2.60.40.10;1.25.10.10;		1	259266	{'-': '5025:67567', 'Reference GRCh38.p14 Primary Assembly': '197084126:197146668', 'Alternate T2T-CHM13v2.0': '196345950:196408492'}
HS3ST5	3.40.50.300;	3BD9;7SCD;7SCE;	6	222537	{'Reference GRCh38.p14 Primary Assembly': '114055595:114343022', 'Alternate T2T-CHM13v2.0': '115238714:115526172'}
KIRREL3	2.60.40.10;	2CRY;	11	84623	{'-': '5099:582511', 'Reference GRCh38.p14 Primary Assembly': '126423357:127000869', 'Alternate T2T-CHM13v2.0': '126454802:127036589'}
RDH10	3.40.50.720;		8	157506	{'Reference GRCh38.p14 Primary Assembly': '73294601:73325280', 'Alternate T2T-CHM13v2.0': '73724121:73754882'}
TNS4	2.30.29.30;3.30.505.10;		17	84951	{'Reference GRCh38.p14 Primary Assembly': '40475833:40501622', 'Alternate T2T-CHM13v2.0': '41339340:41365144'}
TAF1L	1.20.920.10;1.10.1100.10;	3HMH;5IGL;	9	138474	{'Reference GRCh38.p14 Primary Assembly': '32629453:32635668', 'Alternate T2T-CHM13v2.0': '32645648:32651863'}
ABCA7	3.40.50.300;	8EDW;8EE6;8EEB;8EOP;	19	10347	{'-': '5004:30469', 'Reference GRCh38.p14 Primary Assembly': '1040106:1065571', 'Alternate T2T-CHM13v2.0': '1002775:1030236'}
VKORC1L1	1.20.1440.130;		7	154807	{'-': '12303:98787', 'Reference GRCh38.p14 Primary Assembly': '65865771:65959557', 'Alternate T2T-CHM13v2.0': '67087925:67181681'}
RBFA	3.30.300.20;	2E7G;7PNX;7PNY;7PNZ;7PO0;7X9U;8CSR;8CSS;8CST;8CSU;	18	79863	{'Reference GRCh38.p14 Primary Assembly': '80034433:80050650', 'Alternate T2T-CHM13v2.0': '80310951:80327166'}
FCSK	3.30.230.120;		16	197258	{'Reference GRCh38.p14 Primary Assembly': '70454594:70480273', 'Alternate T2T-CHM13v2.0': '76265622:76291304'}
NLGN4X	3.40.50.1820;	2WQZ;2XB6;3BE8;	X	57502	{'-': '5015:343840', 'Reference GRCh38.p14 Primary Assembly': '5890041:6228866', 'Alternate T2T-CHM13v2.0': '5442297:5781160'}
SPAG16	2.130.10.10;		2	79582	{'Reference GRCh38.p14 Primary Assembly': '213284463:214410500', 'Alternate T2T-CHM13v2.0': '213765295:214894994'}
CLYBL	3.20.20.60;	5VXC;5VXO;5VXS;	13	171425	{'Reference GRCh38.p14 Primary Assembly': '99606689:99909443', 'Alternate T2T-CHM13v2.0': '98817568:99120318'}
SPART	1.20.58.80;	2DL1;4U7I;	13	23111	{'-': '28786:73542', 'Reference GRCh38.p14 Primary Assembly': '36301637:36370179', 'Alternate T2T-CHM13v2.0': '35521138:35589681'}
ZNF444	3.30.160.60;1.10.4020.10;		19	55311	{'Reference GRCh38.p14 Primary Assembly': '56132552:56160892', 'Alternate T2T-CHM13v2.0': '59231413:59259773'}
TTC5	2.40.50.550;1.25.40.10;	2XVS;6T59;7QWS;8BPO;	14	91875	{'Reference GRCh38.p14 Primary Assembly': '20286226:20305950', 'Alternate T2T-CHM13v2.0': '14483001:14502707', 'Reference GRCh38.p14 PATCHES': '488907:508631'}
ATOH7	4.10.280.10;		10	220202	{'-': '5000:6518', 'Reference GRCh38.p14 Primary Assembly': '68230594:68232112', 'Alternate T2T-CHM13v2.0': '69099394:69100912'}
MIER1	1.10.10.60;		1	57708	{'-': '5095:68724', 'Reference GRCh38.p14 Primary Assembly': '66924989:66988618', 'Alternate T2T-CHM13v2.0': '66802517:66866110'}
MMP21	3.40.390.10;2.110.10.10;		10	118856	{'-': '5000:14368', 'Reference GRCh38.p14 Primary Assembly': '125766452:125775820', 'Alternate T2T-CHM13v2.0': '126648902:126658270'}
RPTOR	1.25.10.10;2.130.10.10;	5H64;6BCU;6BCX;6SB0;6SB2;6U62;7OWG;7PEA;7PEB;7PEC;7UX2;7UXC;7UXH;8ERA;	17	57521	{'-': '5013:426543', 'Reference GRCh38.p14 Primary Assembly': '80544837:80966367', 'Alternate T2T-CHM13v2.0': '81446295:81873302'}
CADM3	2.60.40.10;	1Z9M;	1	57863	{'-': '5051:36749', 'Reference GRCh38.p14 Primary Assembly': '159171614:159203312', 'Alternate T2T-CHM13v2.0': '158308646:158340338'}
LGI4	3.80.10.10;		19	163175	{'Reference GRCh38.p14 Primary Assembly': '35124512:35135058', 'Alternate T2T-CHM13v2.0': '37669191:37679737'}
DAW1	2.130.10.10;	5NNZ;	2	164781	{'Reference GRCh38.p14 Primary Assembly': '227871630:227924343', 'Alternate T2T-CHM13v2.0': '228353960:228406759'}
ABCA6	3.40.50.300;		17	23460	{'Reference GRCh38.p14 Primary Assembly': '69078701:69141894', 'Alternate T2T-CHM13v2.0': '69955591:70018486'}
ADSS1	3.40.440.10;1.10.300.10;3.90.170.10;		14	122622	{'-': '5032:28113', 'Reference GRCh38.p14 Primary Assembly': '104724228:104747324', 'Alternate T2T-CHM13v2.0': '98967107:98990210'}
GJD3	1.20.1440.80;		17	125111	{'Reference GRCh38.p14 Primary Assembly': '40360651:40364736', 'Alternate T2T-CHM13v2.0': '41224163:41228248'}
LGI3	3.80.10.10;		8	203190	{'Reference GRCh38.p14 Primary Assembly': '22146829:22156805', 'Alternate T2T-CHM13v2.0': '22420777:22430750'}
LILRA2	2.60.40.10;	2OTP;	19	11027	{'-': '5803:22300', 'Reference GRCh38.p14 Primary Assembly': '54572987:54590286', 'Alternate T2T-CHM13v2.0': '57666504:57683801', 'Reference GRCh38.p14 ALT_REF_LOCI_9': '555568:572865', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '479377:496676', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '477871:495170'}
AHI1	2.30.30.40;2.130.10.10;	4ESR;	6	54806	{'-': '5025:219233', 'Reference GRCh38.p14 Primary Assembly': '135283531:135497739', 'Alternate T2T-CHM13v2.0': '136471819:136685993'}
NAGS	3.40.630.30;3.40.1160.10;	4K30;	17	162417	{'-': '376:4822', 'Reference GRCh38.p14 Primary Assembly': '44004621:44009067', 'Alternate T2T-CHM13v2.0': '44857132:44861578'}
SIX5	1.10.10.60;		19	147912	{'-': '4999:9466', 'Reference GRCh38.p14 Primary Assembly': '45764784:45769251', 'Alternate T2T-CHM13v2.0': '48592319:48596786'}
KRT222	1.20.5.170;1.20.5.500;		17	125113	{'Reference GRCh38.p14 Primary Assembly': '40654664:40665176', 'Alternate T2T-CHM13v2.0': '41519042:41529553'}
CCNQ	1.10.472.10;		X	92002	{'-': '5038:16252', 'Reference GRCh38.p14 Primary Assembly': '153587924:153599138', 'Alternate T2T-CHM13v2.0': '151861559:151872815'}
GABRG1	2.70.170.10;1.20.58.390;		4	2565	{'-': '5011:93296', 'Reference GRCh38.p14 Primary Assembly': '46035768:46124053', 'Alternate T2T-CHM13v2.0': '46004705:46090896'}
FBXL14	3.80.10.10;		12	144699	{'Reference GRCh38.p14 Primary Assembly': '1565992:1594841', 'Alternate T2T-CHM13v2.0': '1560303:1591263'}
STK11IP	3.80.10.10;		2	114790	{'Reference GRCh38.p14 Primary Assembly': '219597856:219616450', 'Alternate T2T-CHM13v2.0': '220082586:220101183'}
ZNF687	3.30.160.60;		1	57592	{'-': '5744:15621', 'Reference GRCh38.p14 Primary Assembly': '151281521:151292175', 'Alternate T2T-CHM13v2.0': '150405195:150415868'}
REXO1	3.30.420.10;		19	57455	{'Reference GRCh38.p14 Primary Assembly': '1815247:1848482', 'Alternate T2T-CHM13v2.0': '1786563:1819797'}
CMTR1	3.40.50.12760;3.30.470.30;	4N48;4N49;4N4A;8P4E;8P4F;	6	23070	{'Reference GRCh38.p14 Primary Assembly': '37423984:37481507', 'Alternate T2T-CHM13v2.0': '37247427:37305048'}
DOCK4	1.20.58.740;1.25.40.410;2.60.40.150;1.20.1270.350;2.30.30.40;		7	9732	{'-': '5012:485301', 'Reference GRCh38.p14 Primary Assembly': '111726109:112206398', 'Alternate T2T-CHM13v2.0': '113044414:113524705'}
BATF2	1.20.5.170;		11	116071	{'Reference GRCh38.p14 Primary Assembly': '64987944:64996970', 'Alternate T2T-CHM13v2.0': '64981186:64990213'}
KRT78	1.20.5.170;1.20.5.500;1.20.5.1160;		12	196374	{'-': '5000:16187', 'Reference GRCh38.p14 Primary Assembly': '52837803:52848993', 'Alternate T2T-CHM13v2.0': '52802260:52813481'}
CA13	3.10.200.10;	3CZV;3D0N;3DA2;4HU1;4KNM;4KNN;4QIZ;4QJP;4QJX;4QSJ;5E2N;5LLA;5LLN;5OGJ;5OHH;6G5U;	8	377677	{'Reference GRCh38.p14 Primary Assembly': '85245457:85284072', 'Alternate T2T-CHM13v2.0': '85684054:85722799'}
THEM5	3.10.129.10;	4AE7;	1	284486	{'Reference GRCh38.p14 Primary Assembly': '151847100:151853711', 'Alternate T2T-CHM13v2.0': '150970600:150977164'}
MYO1H	1.10.10.820;1.20.5.190;1.20.58.530;6.20.240.20;3.40.850.10;1.20.120.720;	6MBM;8EB1;	12	283446	{'Reference GRCh38.p14 Primary Assembly': '109310467:109448378', 'Alternate T2T-CHM13v2.0': '109285437:109423272'}
CFAP52	2.130.10.10;	7UNG;8J07;	17	146845	{'Reference GRCh38.p14 Primary Assembly': '9576641:9645553', 'Alternate T2T-CHM13v2.0': '9484337:9553283'}
ARHGEF28	3.30.60.20;1.20.900.10;2.30.29.30;	6BC0;6BC1;	5	64283	{'-': '5038:320832', 'Reference GRCh38.p14 Primary Assembly': '73626195:73941989', 'Alternate T2T-CHM13v2.0': '74107539:74423331'}
H2BC26	1.10.20.10;	6BIZ;	1	128312	{'Reference GRCh38.p14 Primary Assembly': '228458102:228458557', 'Alternate T2T-CHM13v2.0': '227646614:227647069', 'Reference GRCh38.p14 PATCHES': '49301:49756'}
ARHGAP24	2.30.29.30;1.10.555.10;		4	83478	{'-': '5019:532535', 'Reference GRCh38.p14 Primary Assembly': '85475149:86002665', 'Alternate T2T-CHM13v2.0': '88804773:89332146'}
PLD6	3.30.870.10;		17	201164	{'Reference GRCh38.p14 Primary Assembly': '17200994:17206332', 'Alternate T2T-CHM13v2.0': '17147035:17152467', '-': '35855:41193'}
TOR2A	3.40.50.300;		9	27433	{'-': '4999:8769', 'Reference GRCh38.p14 Primary Assembly': '127731523:127735293', 'Alternate T2T-CHM13v2.0': '139938967:139942737'}
ARMC10	1.25.10.10;		7	83787	{'-': '5259:29878', 'Reference GRCh38.p14 Primary Assembly': '103075139:103099758', 'Alternate T2T-CHM13v2.0': '104390253:104414902', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '144969:158098'}
STK40	1.10.510.10;	5L2Q;	1	83931	{'Reference GRCh38.p14 Primary Assembly': '36339627:36385923', 'Alternate T2T-CHM13v2.0': '36202500:36248807'}
ABHD12	3.40.50.1820;		20	26090	{'-': '5147:95768', 'Reference GRCh38.p14 Primary Assembly': '25294742:25390834', 'Alternate T2T-CHM13v2.0': '25359832:25455938'}
UBE2J2	3.10.110.10;	2F4W;	1	118424	{'Reference GRCh38.p14 Primary Assembly': '1253911:1273853', 'Alternate T2T-CHM13v2.0': '682909:702870'}
ANKRD36B	1.25.40.20;		2	57730	{'Reference GRCh38.p14 Primary Assembly': '97492662:97589876', 'Alternate T2T-CHM13v2.0': '97950886:98048092', 'Reference GRCh38.p14 PATCHES': '418693:515907'}
NLGN1	3.40.50.1820;	5OJ6;5OJK;	3	22871	{'-': '6845:903473', 'Reference GRCh38.p14 Primary Assembly': '173395951:174294371', 'Alternate T2T-CHM13v2.0': '176181718:177081313'}
OSR2	3.30.160.60;		8	116039	{'Reference GRCh38.p14 Primary Assembly': '98944441:98952099', 'Alternate T2T-CHM13v2.0': '100069164:100076820'}
LTBP4	2.10.25.10;3.90.290.10;		19	8425	{'-': '5000:41654', 'Reference GRCh38.p14 Primary Assembly': '40593165:40629819', 'Alternate T2T-CHM13v2.0': '43413756:43450377'}
SLC66A2	1.20.1280.290;		18	80148	{'Reference GRCh38.p14 Primary Assembly': '79902419:79951652', 'Alternate T2T-CHM13v2.0': '80178397:80227220'}
PIAS4	2.60.120.780;1.10.720.30;3.30.40.10;		19	51588	{'Reference GRCh38.p14 Primary Assembly': '4007735:4039385', 'Alternate T2T-CHM13v2.0': '3989994:4022497'}
RUSC2	1.20.58.900;2.30.30.40;	6IF2;	9	9853	{'Reference GRCh38.p14 Primary Assembly': '35490110:35561894', 'Alternate T2T-CHM13v2.0': '35509257:35582567'}
CENPS	1.10.20.10;	4DRA;4DRB;4E44;4E45;4NDY;4NE1;4NE3;4NE5;4NE6;7R5S;7XHN;7XHO;7YWX;	1	378708	{'Reference GRCh38.p14 Primary Assembly': '10430432:10442807', 'Alternate T2T-CHM13v2.0': '9974047:9986420'}
AGGF1	2.60.200.20;		5	55109	{'-': '5019:39849', 'Reference GRCh38.p14 Primary Assembly': '77030403:77065233', 'Alternate T2T-CHM13v2.0': '77512127:77546903'}
GPD1L	3.40.50.720;	2PLA;	3	23171	{'-': '5000:67204', 'Reference GRCh38.p14 Primary Assembly': '32106619:32168708', 'Alternate T2T-CHM13v2.0': '32103732:32165788'}
MT1M	4.10.10.10;		16	4499	{'-': '5001:6323', 'Reference GRCh38.p14 Primary Assembly': '56632658:56633980', 'Alternate T2T-CHM13v2.0': '62427637:62428959'}
MIER2	1.10.10.60;		19	54531	{'Reference GRCh38.p14 Primary Assembly': '305572:344795', 'Alternate T2T-CHM13v2.0': '255524:294229'}
SLC43A2	1.20.1250.20;		17	124935	{'Reference GRCh38.p14 Primary Assembly': '1569253:1630087', 'Alternate T2T-CHM13v2.0': '1457955:1518890', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '0:58861'}
KDM8	2.60.120.650;	3UYJ;4AAP;4GAZ;4GJY;4GJZ;4QU1;5FBJ;6AVS;6AX3;6F4M;6F4N;6F4O;6F4P;6F4Q;6F4R;6F4S;6F4T;6I9L;6I9M;6I9N;7DYT;7DYU;7DYV;7DYW;7DYX;7UQ3;	16	79831	{'Reference GRCh38.p14 Primary Assembly': '27203525:27221767', 'Alternate T2T-CHM13v2.0': '27482138:27500380'}
LRRC25	3.80.10.10;		19	126364	{'Reference GRCh38.p14 Primary Assembly': '18391136:18397621', 'Alternate T2T-CHM13v2.0': '18525308:18531804'}
ARHGAP18	1.10.555.10;		6	93663	{'Reference GRCh38.p14 Primary Assembly': '129576131:129710176', 'Alternate T2T-CHM13v2.0': '130769767:130904794'}
ZNF786	6.10.140.140;3.30.160.60;		7	136051	{'Reference GRCh38.p14 Primary Assembly': '149069640:149090717', 'Alternate T2T-CHM13v2.0': '150251766:150272853'}
TMTC2	1.25.40.10;		12	160335	{'Reference GRCh38.p14 Primary Assembly': '82686905:83134865', 'Alternate T2T-CHM13v2.0': '82666440:83114533'}
PARP8	3.90.228.10;		5	79668	{'Reference GRCh38.p14 Primary Assembly': '50665930:50846518', 'Alternate T2T-CHM13v2.0': '51485093:51665707', '-': '-:-'}
ASCC3	1.10.150.20;2.60.40.150;3.40.50.300;1.10.3380.10;1.10.10.10;	6YXQ;8ALZ;	6	10973	{'Reference GRCh38.p14 Primary Assembly': '100508193:100881328', 'Alternate T2T-CHM13v2.0': '101681936:102055216'}
CLIP4	1.25.40.20;2.30.30.190;	2Z0W;	2	79745	{'Reference GRCh38.p14 Primary Assembly': '29097725:29183807', 'Alternate T2T-CHM13v2.0': '29141178:29227262'}
PLCD3	2.60.40.150;1.10.238.10;3.20.20.190;2.30.29.30;		17	113026	{'Reference GRCh38.p14 Primary Assembly': '45108958:45132514', 'Alternate T2T-CHM13v2.0': '45962834:45986398'}
MICALL1	1.10.418.10;2.10.110.10;	2KSP;	22	85377	{'Reference GRCh38.p14 Primary Assembly': '37906296:37942821', 'Alternate T2T-CHM13v2.0': '38367924:38404448'}
TMEM130	2.60.40.10;		7	222865	{'Reference GRCh38.p14 Primary Assembly': '98846489:98870013', 'Alternate T2T-CHM13v2.0': '100079810:100103345'}
BBS5	2.30.29.30;	6XTB;	2	129880	{'-': '4998:32159', 'Reference GRCh38.p14 Primary Assembly': '169479493:169506654', 'Alternate T2T-CHM13v2.0': '169956106:169983894'}
PPM1K	3.60.40.10;	2IQ1;4DA1;6AK7;	4	152926	{'-': '5270:32211', 'Reference GRCh38.p14 Primary Assembly': '88257619:88284560', 'Alternate T2T-CHM13v2.0': '91588590:91615538'}
CADM2	2.60.40.10;		3	253559	{'Reference GRCh38.p14 Primary Assembly': '84958988:86074428', 'Alternate T2T-CHM13v2.0': '85024004:86146271', 'Reference GRCh38.p14 PATCHES': '174211:174893'}
CMYA5	2.60.120.920;3.30.160.60;2.60.40.10;		5	202333	{'Reference GRCh38.p14 Primary Assembly': '79689835:79800221', 'Alternate T2T-CHM13v2.0': '80173612:80284145'}
VPS8	2.130.10.10;3.30.40.10;		3	23355	{'Reference GRCh38.p14 Primary Assembly': '184812165:185052613', 'Alternate T2T-CHM13v2.0': '187627967:187868622'}
PALS1	2.30.42.10;1.10.287.650;3.40.50.300;2.30.30.40;	1Y76;3UIT;4UU5;4UU6;4WSI;7M4R;7NTJ;7NTK;7QCS;	14	64398	{'Reference GRCh38.p14 Primary Assembly': '67241434:67336060', 'Alternate T2T-CHM13v2.0': '61448559:61543184', '-': '738289:832915'}
GALNT15	2.80.10.50;		3	117248	{'Reference GRCh38.p14 Primary Assembly': '16174679:16248223', 'Alternate T2T-CHM13v2.0': '16177746:16249450'}
FBXW8	1.20.1280.50;2.130.10.10;	7Z8B;	12	26259	{'Reference GRCh38.p14 Primary Assembly': '116910949:117031147', 'Alternate T2T-CHM13v2.0': '116892023:117012204'}
SDR16C5	3.40.50.720;		8	195814	{'Reference GRCh38.p14 Primary Assembly': '56300004:56320174', 'Alternate T2T-CHM13v2.0': '56677118:56697311'}
ZCCHC7	4.10.60.10;		9	84186	{'Reference GRCh38.p14 Primary Assembly': '37120166:37358148', 'Alternate T2T-CHM13v2.0': '37143908:37381875'}
LILRB2	2.60.40.10;	2DYP;2GW5;4LLA;6AED;6BCS;	19	10288	{'Reference GRCh38.p14 Primary Assembly': '54273811:54281109', 'Alternate T2T-CHM13v2.0': '57356203:57363499', 'Reference GRCh38.p14 ALT_REF_LOCI_9': '248779:256078', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '248552:255848', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '248795:288280', 'Reference GRCh38.p14 ALT_REF_LOCI_8': '248807:256103'}
NME8	3.40.30.10;3.30.70.141;		7	51314	{'-': '5000:56800', 'Reference GRCh38.p14 Primary Assembly': '37848596:37900396', 'Alternate T2T-CHM13v2.0': '37989651:38041413'}
GALNT16	2.80.10.50;		14	57452	{'Reference GRCh38.p14 Primary Assembly': '69259630:69386336', 'Alternate T2T-CHM13v2.0': '63472674:63600864'}
FGFRL1	2.60.40.10;		4	53834	{'Reference GRCh38.p14 Primary Assembly': '1010211:1026897', 'Alternate T2T-CHM13v2.0': '1008258:1024942'}
LNX2	2.30.42.10;3.30.40.10;	2VWR;5DIN;5E11;5E1Y;5E21;5E22;7QCT;	13	222484	{'Reference GRCh38.p14 Primary Assembly': '27545912:27621106', 'Alternate T2T-CHM13v2.0': '26766972:26842232'}
D2HGDH	3.30.465.10;3.30.70.2190;3.30.70.2740;3.30.43.10;	6LPN;6LPP;6LPQ;6LPT;6LPU;6LPX;	2	728294	{'-': '5015:39196', 'Reference GRCh38.p14 Primary Assembly': '241734629:241768810', 'Alternate T2T-CHM13v2.0': '242238651:242271340'}
SFRP1	2.40.50.120;1.10.2000.10;		8	6422	{'Reference GRCh38.p14 Primary Assembly': '41261961:41309472', 'Alternate T2T-CHM13v2.0': '41535585:41583178'}
RYBP	4.10.1060.10;	3IXS;	3	23429	{'Reference GRCh38.p14 Primary Assembly': '72374596:72446622', 'Alternate T2T-CHM13v2.0': '72416168:72500474', 'Reference GRCh38.p14 PATCHES': '49166:133455'}
PNKD	3.60.15.10;		2	25953	{'-': '5127:81401', 'Reference GRCh38.p14 Primary Assembly': '218270518:218346792', 'Alternate T2T-CHM13v2.0': '218756219:218832887'}
GALNT4	2.80.10.50;	5NQA;6H0B;	12	8693	{'-': '6466:11850', 'Reference GRCh38.p14 Primary Assembly': '89519411:89524795', 'Alternate T2T-CHM13v2.0': '89501267:89506651'}
PHETA1	2.30.29.30;	3QIS;	12	144717	{'-': '5026:13442', 'Reference GRCh38.p14 Primary Assembly': '111360678:111369094', 'Alternate T2T-CHM13v2.0': '111341174:111349590'}
NIN	1.10.238.10;		14	51199	{'-': '5340:116739', 'Reference GRCh38.p14 Primary Assembly': '50719762:50831502', 'Alternate T2T-CHM13v2.0': '44925892:45037886'}
STX19	1.20.5.110;1.20.58.70;		3	415117	{'Reference GRCh38.p14 Primary Assembly': '94014364:94028596', 'Alternate T2T-CHM13v2.0': '96712493:96726725', '-': '39226:53458'}
MINK1	1.10.510.10;		17	50488	{'-': '5000:69721', 'Reference GRCh38.p14 Primary Assembly': '4833339:4898060', 'Alternate T2T-CHM13v2.0': '4722897:4788312'}
FTMT	1.20.1260.10;	1R03;5Z8J;5Z8S;5Z8U;5Z91;7O63;7O64;7O65;7O66;7O67;7O68;7O69;7O6A;7O6C;7O6D;7OWY;	5	94033	{'Reference GRCh38.p14 Primary Assembly': '121851881:121852832', 'Alternate T2T-CHM13v2.0': '122368748:122369699'}
SLC22A24	1.20.1250.20;		11	283238	{'Reference GRCh38.p14 Primary Assembly': '63079939:63144220', 'Alternate T2T-CHM13v2.0': '63069240:63133469'}
CARNMT1	3.40.50.150;	5YF0;5YF1;5YF2;	9	138199	{'Reference GRCh38.p14 Primary Assembly': '74980789:75028429', 'Alternate T2T-CHM13v2.0': '87137361:87185021'}
KLHL36	1.25.40.420;2.120.10.80;		16	79786	{'Reference GRCh38.p14 Primary Assembly': '84648510:84667685', 'Alternate T2T-CHM13v2.0': '90714792:90733969'}
KIF2B	3.40.850.10;		17	84643	{'Reference GRCh38.p14 Primary Assembly': '53822926:53825192', 'Alternate T2T-CHM13v2.0': '54698156:54700425'}
HDDC3	1.10.3210.10;	3NR1;5VXA;	15	374659	{'Reference GRCh38.p14 Primary Assembly': '90929967:90932568', 'Alternate T2T-CHM13v2.0': '88689550:88694728', '-': '4788:7389'}
CHCHD4	1.10.287.2900;	2K3J;2L0Y;	3	131474	{'Reference GRCh38.p14 Primary Assembly': '14112076:14124869', 'Alternate T2T-CHM13v2.0': '14114021:14126814'}
MARVELD2	6.10.140.340;	5N7H;5N7I;5N7K;	5	153562	{'-': '5004:34218', 'Reference GRCh38.p14 Primary Assembly': '69415115:69444329', 'Alternate T2T-CHM13v2.0': '70241107:70269904', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '198538:227322', 'Reference GRCh38.p14 PATCHES': '81862:111100'}
CPA6	3.30.70.340;3.40.630.10;		8	57094	{'-': '5025:329347', 'Reference GRCh38.p14 Primary Assembly': '67422037:67746359', 'Alternate T2T-CHM13v2.0': '67848500:68172794'}
CBR4	3.40.50.720;	4CQL;4CQM;	4	84869	{'Reference GRCh38.p14 Primary Assembly': '168894485:169010254', 'Alternate T2T-CHM13v2.0': '172254053:172369680'}
ZNF808	6.10.140.140;3.30.160.60;		19	388558	{'Reference GRCh38.p14 Primary Assembly': '52527667:52568752', 'Alternate T2T-CHM13v2.0': '55612257:55653723'}
AFAP1L2	2.30.29.30;	2COF;	10	84632	{'Reference GRCh38.p14 Primary Assembly': '114280724:114405174', 'Alternate T2T-CHM13v2.0': '115174840:115299199'}
CRACR2B	1.10.238.10;		11	283229	{'Reference GRCh38.p14 Primary Assembly': '826156:831990', 'Alternate T2T-CHM13v2.0': '877474:883425'}
FIBCD1	3.90.215.10;	4M7F;4M7H;6ZQR;6ZQX;6ZQY;6ZR0;6ZR3;6ZR4;	9	84929	{'Reference GRCh38.p14 Primary Assembly': '130902439:130940708', 'Alternate T2T-CHM13v2.0': '143107311:143145776'}
OGFOD1	2.60.120.620;	4NHX;4NHY;	16	55239	{'Reference GRCh38.p14 Primary Assembly': '56451523:56479103', 'Alternate T2T-CHM13v2.0': '62246597:62274174'}
ZNF276	3.30.160.60;		16	92822	{'Reference GRCh38.p14 Primary Assembly': '89720367:89740924', 'Alternate T2T-CHM13v2.0': '95805133:95825675'}
AFAP1	2.30.29.30;		4	60312	{'Reference GRCh38.p14 Primary Assembly': '7758712:7939860', 'Alternate T2T-CHM13v2.0': '7730694:7918405'}
DCLK2	3.10.20.230;1.10.510.10;		4	166614	{'Reference GRCh38.p14 Primary Assembly': '150078444:150257437', 'Alternate T2T-CHM13v2.0': '153399763:153581436'}
OXR1	3.10.350.10;		8	55074	{'Reference GRCh38.p14 Primary Assembly': '106270177:106752693', 'Alternate T2T-CHM13v2.0': '107398438:107880521'}
MPND	3.40.140.10;		19	84954	{'Reference GRCh38.p14 Primary Assembly': '4343561:4360077', 'Alternate T2T-CHM13v2.0': '4327018:4343526'}
